id,cuisine_type
TsYrzVVtkKO4Asrk_L9stw,italian
25npnVAlhRjguunYS8zy8w,italian
zDujEq9qZk13nBcG2PH4tA,italian
h37t9rA06Sr4EetJjKrfzw,italian
BQSPAXJcPw-7Gt2CCrH2Yw,italian
Da9aNH6kW3fv4mTzqx3yPw,italian
vzDb6_Zkm4m8O7tNidojjA,italian
_V7YsDQ4Lb41rqfkuPzm1w,italian
jRQeYlGHXgcnrB8R86TKDQ,italian
5Ucd5yN_VFlMkhG3QYV2Ng,italian
qz0eIwvXkVTRAyGjJZpOFg,italian
fuS39acPaRi38DhSSwEI4Q,italian
wZkZmjZEJDraLJgAalnHvA,italian
kN0PvlrcjzEe57lp5Js6kw,italian
OkfqS1xsv26xa7siRZZqbw,italian
eVk4F9ixl89zyUHJ1G2Aiw,italian
YqHszHxkqaC6azgrOsRO1Q,italian
zo4JHfD2nWPUiqgsgDOaHQ,italian
CFR-HzVHKWRMpMAR3LAhzg,italian
o5mMVFk4Hcpk2FuKfgTgdg,italian
jnHbdsqlTKlPcmJ8BCP9-g,italian
wLzJbddDixAEZrF7VT6_hw,italian
md4VUyUd1WW3MnnUQoZZeg,italian
y9y6V8va7yt_TUnoO68z0w,italian
gkoAJruMnKVuoKVqorgFCA,italian
6eqrk1wCQMww_ejze5gvsg,italian
gkoAJruMnKVuoKVqorgFCA,italian
6eqrk1wCQMww_ejze5gvsg,italian
